program_change channel=0 program=0 time=0
control_change channel=0 control=7 value=127 time=0
control_change channel=0 control=10 value=84 time=0
program_change channel=1 program=0 time=0
control_change channel=1 control=7 value=127 time=0
control_change channel=1 control=10 value=44 time=0
program_change channel=2 program=0 time=0
control_change channel=0 control=121 value=0 time=0.023696666666666668
control_change channel=1 control=121 value=0 time=0.023696666666666668
control_change channel=0 control=1 value=0 time=0.09478666666666667
control_change channel=1 control=1 value=0 time=0
control_change channel=0 control=64 value=0 time=0.023696666666666668
control_change channel=1 control=64 value=0 time=0.023696666666666668
aftertouch channel=1 value=0 time=0.05924166666666667
aftertouch channel=0 value=0 time=0.011848333333333334
pitchwheel channel=0 pitch=0 time=0.023696666666666668
pitchwheel channel=1 pitch=0 time=0
control_change channel=0 control=93 value=12 time=0.011848333333333334
control_change channel=0 control=91 value=21 time=0
control_change channel=1 control=93 value=12 time=0
control_change channel=1 control=91 value=21 time=0
control_change channel=1 control=7 value=127 time=0.13033166666666668
control_change channel=0 control=7 value=127 time=0.005924166666666667
control_change channel=0 control=10 value=84 time=0.0177725
control_change channel=1 control=10 value=44 time=0
note_on channel=0 note=67 velocity=80 time=0
note_on channel=1 note=55 velocity=80 time=0
note_on channel=1 note=43 velocity=80 time=0
note_on channel=0 note=67 velocity=0 time=0.18957333333333334
note_on channel=1 note=43 velocity=0 time=0
note_on channel=1 note=55 velocity=0 time=0
note_on channel=0 note=67 velocity=80 time=0
note_on channel=1 note=43 velocity=80 time=0
note_on channel=1 note=55 velocity=80 time=0
note_on channel=0 note=67 velocity=0 time=0.3791466666666667
note_on channel=1 note=55 velocity=0 time=0
note_on channel=1 note=43 velocity=0 time=0
note_on channel=0 note=69 velocity=80 time=0.18957333333333334
note_on channel=1 note=57 velocity=80 time=0
note_on channel=1 note=45 velocity=80 time=0
note_on channel=0 note=69 velocity=0 time=0.18957333333333334
note_on channel=1 note=45 velocity=0 time=0
note_on channel=1 note=57 velocity=0 time=0
note_on channel=0 note=71 velocity=80 time=0
note_on channel=1 note=59 velocity=80 time=0
note_on channel=1 note=47 velocity=80 time=0
note_on channel=0 note=71 velocity=0 time=0.18957333333333334
note_on channel=1 note=47 velocity=0 time=0
note_on channel=1 note=59 velocity=0 time=0
note_on channel=0 note=71 velocity=80 time=0
note_on channel=1 note=59 velocity=80 time=0
note_on channel=1 note=47 velocity=80 time=0
note_on channel=0 note=71 velocity=0 time=0.3791466666666667
note_on channel=1 note=47 velocity=0 time=0
note_on channel=1 note=59 velocity=0 time=0
note_on channel=0 note=77 velocity=80 time=0
note_on channel=1 note=65 velocity=80 time=0
note_on channel=1 note=53 velocity=80 time=0
note_on channel=0 note=77 velocity=0 time=0.18957333333333334
note_on channel=1 note=53 velocity=0 time=0
note_on channel=1 note=65 velocity=0 time=0
note_on channel=0 note=76 velocity=80 time=0
note_on channel=1 note=64 velocity=80 time=0
note_on channel=1 note=52 velocity=80 time=0
note_on channel=0 note=76 velocity=0 time=0.3791466666666667
note_on channel=1 note=52 velocity=0 time=0
note_on channel=1 note=64 velocity=0 time=0
note_on channel=0 note=74 velocity=80 time=0
note_on channel=1 note=62 velocity=80 time=0
note_on channel=1 note=50 velocity=80 time=0
note_on channel=0 note=74 velocity=0 time=0.3791466666666667
note_on channel=1 note=50 velocity=0 time=0
note_on channel=1 note=62 velocity=0 time=0
note_on channel=0 note=79 velocity=80 time=0
note_on channel=0 note=71 velocity=80 time=0
note_on channel=0 note=67 velocity=80 time=0
note_on channel=1 note=55 velocity=80 time=0
note_on channel=1 note=43 velocity=80 time=0
note_on channel=0 note=67 velocity=0 time=0.18957333333333334
note_on channel=0 note=71 velocity=0 time=0
note_on channel=0 note=79 velocity=0 time=0
note_on channel=1 note=43 velocity=0 time=0
note_on channel=1 note=55 velocity=0 time=0
note_on channel=0 note=66 velocity=80 time=0
note_on channel=0 note=66 velocity=0 time=0.09478666666666667
note_on channel=0 note=67 velocity=80 time=0
note_on channel=0 note=67 velocity=0 time=0.09478666666666667
note_on channel=0 note=69 velocity=80 time=0
note_on channel=0 note=69 velocity=0 time=0.09478666666666667
note_on channel=0 note=71 velocity=80 time=0.047393333333333336
note_on channel=0 note=71 velocity=0 time=0.09478666666666667
note_on channel=0 note=72 velocity=80 time=0.047393333333333336
note_on channel=0 note=72 velocity=0 time=0.09478666666666667
note_on channel=0 note=74 velocity=80 time=0.047393333333333336
note_on channel=0 note=74 velocity=0 time=0.09478666666666667
note_on channel=0 note=76 velocity=80 time=0.047393333333333336
note_on channel=1 note=60 velocity=80 time=0
note_on channel=1 note=48 velocity=80 time=0
note_on channel=0 note=76 velocity=0 time=0.09478666666666667
note_on channel=0 note=75 velocity=80 time=0.047393333333333336
note_on channel=1 note=48 velocity=0 time=0.047393333333333336
note_on channel=1 note=60 velocity=0 time=0
note_on channel=0 note=75 velocity=0 time=0.047393333333333336
note_on channel=0 note=76 velocity=80 time=0.047393333333333336
note_on channel=1 note=55 velocity=80 time=0
note_on channel=1 note=60 velocity=80 time=0
note_on channel=1 note=64 velocity=80 time=0
note_on channel=0 note=76 velocity=0 time=0.09478666666666667
note_on channel=0 note=77 velocity=80 time=0.047393333333333336
note_on channel=1 note=64 velocity=0 time=0.047393333333333336
note_on channel=1 note=60 velocity=0 time=0
note_on channel=1 note=55 velocity=0 time=0
note_on channel=0 note=77 velocity=0 time=0.047393333333333336
note_on channel=0 note=79 velocity=80 time=0.047393333333333336
note_on channel=1 note=64 velocity=80 time=0
note_on channel=1 note=52 velocity=80 time=0
note_on channel=0 note=79 velocity=0 time=0.09478666666666667
note_on channel=0 note=81 velocity=80 time=0.047393333333333336
note_on channel=1 note=52 velocity=0 time=0.047393333333333336
note_on channel=1 note=64 velocity=0 time=0
note_on channel=0 note=81 velocity=0 time=0.047393333333333336
note_on channel=0 note=84 velocity=80 time=0.047393333333333336
note_on channel=1 note=51 velocity=80 time=0
note_on channel=1 note=63 velocity=80 time=0
note_on channel=0 note=84 velocity=0 time=0.09478666666666667
note_on channel=0 note=81 velocity=80 time=0.047393333333333336
note_on channel=1 note=63 velocity=0 time=0.047393333333333336
note_on channel=1 note=51 velocity=0 time=0
note_on channel=0 note=81 velocity=0 time=0.047393333333333336
note_on channel=0 note=83 velocity=80 time=0.047393333333333336
note_on channel=1 note=62 velocity=80 time=0
note_on channel=1 note=50 velocity=80 time=0
note_on channel=0 note=83 velocity=0 time=0.09478666666666667
note_on channel=0 note=84 velocity=80 time=0.047393333333333336
note_on channel=1 note=50 velocity=0 time=0.047393333333333336
note_on channel=1 note=62 velocity=0 time=0
note_on channel=0 note=84 velocity=0 time=0.047393333333333336
note_on channel=0 note=86 velocity=80 time=0.047393333333333336
note_on channel=1 note=55 velocity=80 time=0
note_on channel=1 note=59 velocity=80 time=0
note_on channel=1 note=65 velocity=80 time=0
note_on channel=0 note=86 velocity=0 time=0.09478666666666667
note_on channel=0 note=77 velocity=80 time=0.047393333333333336
note_on channel=1 note=65 velocity=0 time=0.047393333333333336
note_on channel=1 note=59 velocity=0 time=0
note_on channel=1 note=55 velocity=0 time=0
note_on channel=0 note=77 velocity=0 time=0.047393333333333336
note_on channel=0 note=81 velocity=80 time=0.047393333333333336
note_on channel=1 note=55 velocity=80 time=0
note_on channel=1 note=43 velocity=80 time=0
note_on channel=0 note=81 velocity=0 time=0.09478666666666667
note_on channel=0 note=79 velocity=80 time=0.047393333333333336
note_on channel=1 note=43 velocity=0 time=0.047393333333333336
note_on channel=1 note=55 velocity=0 time=0
note_on channel=0 note=79 velocity=0 time=0.047393333333333336
note_on channel=0 note=74 velocity=80 time=0.047393333333333336
note_on channel=1 note=55 velocity=80 time=0
note_on channel=1 note=59 velocity=80 time=0
note_on channel=1 note=65 velocity=80 time=0
note_on channel=0 note=74 velocity=0 time=0.09478666666666667
note_on channel=0 note=75 velocity=80 time=0.047393333333333336
note_on channel=1 note=65 velocity=0 time=0.047393333333333336
note_on channel=1 note=59 velocity=0 time=0
note_on channel=1 note=55 velocity=0 time=0
note_on channel=0 note=75 velocity=0 time=0.047393333333333336
note_on channel=0 note=76 velocity=80 time=0.047393333333333336
note_on channel=1 note=60 velocity=80 time=0
note_on channel=1 note=48 velocity=80 time=0
note_on channel=0 note=76 velocity=0 time=0.09478666666666667
note_on channel=0 note=75 velocity=80 time=0.047393333333333336
note_on channel=1 note=48 velocity=0 time=0.047393333333333336
note_on channel=1 note=60 velocity=0 time=0
note_on channel=0 note=75 velocity=0 time=0.047393333333333336
note_on channel=0 note=76 velocity=80 time=0.047393333333333336
note_on channel=1 note=55 velocity=80 time=0
note_on channel=1 note=60 velocity=80 time=0
note_on channel=1 note=64 velocity=80 time=0
note_on channel=0 note=76 velocity=0 time=0.09478666666666667
note_on channel=0 note=77 velocity=80 time=0.047393333333333336
note_on channel=1 note=64 velocity=0 time=0.047393333333333336
note_on channel=1 note=60 velocity=0 time=0
note_on channel=1 note=55 velocity=0 time=0
